source_index,source_excel_row,calculator_key,catalog_id,canonical_name,catalog_url,source_label,source_disease,study,cutoff,catalog_purpose,sampling_design,data_source,provenance,confidence,confidence_group,evidence_group,exact_outcome_note,N,tp,fp,fn,tn,n_positive,positive_fraction,observed_prevalence,post_positive_risk,post_positive_risk_lo,post_positive_risk_hi,highest_rulein_threshold_supported
247,249,mdcalc:10102,10102,Prediction of Alcohol Withdrawal Severity Scale,https://www.mdcalc.com/calc/10102/prediction-alcohol-withdrawal-severity-scale,Prediction of Alcohol Withdrawal Severity Scale,"Drug/Alcohol Use, Substance Withdrawal","Maldonado et al., Prospective Validation Study of PAWSS, Alcohol Alcohol. 2015",≥4,Diagnosis,Unclear,v2_llm_event_counts,model-extracted,high,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,403,27,2,2,372,29,0.07196029777,0.07196029777,0.9310344828,0.7803541985,0.9808787338,0.2
248,250,mdcalc:10473,10473,Primary Care PTSD Screen for DSM-5 (PC-PTSD-5),https://www.mdcalc.com/calc/10473/primary-care-ptsd-screen-dsm-5-pc-ptsd,Primary Care PTSD Screen for DSM-5 (PC-PTSD-5),"Posttraumatic Stress Disorder, Trauma","Bovin MJ, Kimerling R, Weathers FW, et al. Diagnostic Accuracy and Acceptability of the PC-PTSD-5 Among US Veterans. JAMA Netw Open. 2021;4(2):e2036733. doi:10.1001/jamanetworkopen.2020.36733.",≥4,Prognosis,Unclear,v2_llm_event_counts,model-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,396,53,28,15,300,81,0.2045454545,0.1717171717,0.6543209877,0.5458937529,0.7487735047,0.2
249,251,mdcalc:33,33,PSI/PORT Score: Pneumonia Severity Index for CAP,https://www.mdcalc.com/calc/33/psi-port-score-pneumonia-severity-index-cap,PSI/PORT Score: Pneumonia Severity Index for CAP,"Coronavirus, Pneumonia, Respiratory Failure, Chronic Obstructive Pulmonary Disease","Zhang ZX, Zhang W, Liu P, et al. Prognostic value of Pneumonia Severity Index, CURB-65, CRB-65, and procalcitonin in community-acquired pneumonia in Singapore. Proc Singapore Healthc. 2016. doi:10.1177/2010105815623292.",PSI class IV–V (score ≥91),Prognosis,Unclear,v2_llm_event_counts,model-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1902,284,809,15,794,1093,0.5746582545,0.1572029443,0.2598353156,0.2347097044,0.2866431805,0.2
250,252,mdcalc:33,33,PSI/PORT Score: Pneumonia Severity Index for CAP,https://www.mdcalc.com/calc/33/psi-port-score-pneumonia-severity-index-cap,PSI/PORT Score: Pneumonia Severity Index for CAP,"Coronavirus, Pneumonia, Respiratory Failure, Chronic Obstructive Pulmonary Disease","Shah BA, Ahmed W, Dhobi GN, Shah NN, Khursheed SQ, Haq I. Validity of pneumonia severity index and CURB-65 severity scoring systems in community acquired pneumonia in an Indian setting. Indian J Chest Dis Allied Sci. 2010;52(1):9–17. PMID: 20364609.", PSI class ≥IV (score ≥91),Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate-high,Moderate-high,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,150,16,64,0,70,80,0.5333333333,0.1066666667,0.2,0.1270284404,0.3004624373,0.1
251,253,mdcalc:1304,1304,Pulmonary Embolism Severity Index (PESI),https://www.mdcalc.com/calc/1304/pulmonary-embolism-severity-index-pesi,Pulmonary Embolism Severity Index (PESI),Pulmonary Embolism,"Donzé J, Le Gal G, Fine MJ, et al. Prospective validation of the Pulmonary Embolism Severity Index: a clinical prognostic model for pulmonary embolism. Thromb Haemost. 2008;100(5):943–948. PMID: 18989542. doi:10.1160/TH08-05-0285.",Classes III–V positive; PESI >85,Prognosis,Unclear,v2_llm_event_counts,model-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,357,19,152,2,184,171,0.4789915966,0.05882352941,0.1111111111,0.07229520826,0.1670156457,0.05
252,254,mdcalc:2654,2654,qSOFA (Quick SOFA) Score for Sepsis,https://www.mdcalc.com/calc/2654/qsofa-quick-sofa-score-sepsis,qSOFA (Quick SOFA) Score for Sepsis,"Coronavirus, Sepsis","Freund Y, Lemachatti N, Krastinova E, et al. Prognostic Accuracy of Sepsis-3 Criteria for In-Hospital Mortality Among Patients With Suspected Infection Presenting to the Emergency Department. JAMA. 2017;317(3):301–308. PMID: 28114554.",qSOFA ≥2; predicts in-hospital mortality,"Diagnosis, Prognosis",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,879,52,166,22,639,218,0.2480091013,0.08418657565,0.2385321101,0.1867949654,0.2993245336,0.1
253,255,mdcalc:10304,10304,Quick COVID-19 Severity Index (qCSI),https://www.mdcalc.com/calc/10304/quick-covid-19-severity-index-qcsi,Quick COVID-19 Severity Index (qCSI),Coronavirus,"Haimovich AD, Ravindra NG, Stoytchev S, et al. Development and Validation of the Quick COVID-19 Severity Index: A Prognostic Tool for Early Clinical Decompensation. Ann Emerg Med. 2020;76(4):442–453. doi:10.1016/j.annemergmed.2020.07.022.",qCSI >3 predicts respiratory decompensation within 24 hours,Prognosis,Unclear,v2_lim_event_counts,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,299,32,57,8,202,89,0.2976588629,0.1337792642,0.3595505618,0.267577867,0.4631458816,0.2
255,257,mdcalc:3941,3941,Rapid Arterial oCclusion Evaluation (RACE) Scale for Stroke,https://www.mdcalc.com/calc/3941/rapid-arterial-occlusion-evaluation-race-scale-stroke,Rapid Arterial oCclusion Evaluation (RACE) Scale for Stroke,Stroke / Transient Ischemic Attack (TIA),"Prospective validation study by Pérez de la Ossa et al in Catalonia, Spain",≥5,Diagnosis,Unclear,v2_llm_event_counts,model-extracted,high,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,357,65,90,11,191,155,0.4341736695,0.2128851541,0.4193548387,0.344542061,0.4980682991,0.2
256,258,mdcalc:3999,3999,Rapid Shallow Breathing Index (RSBI),https://www.mdcalc.com/calc/3999/rapid-shallow-breathing-index-rsbi,Rapid Shallow Breathing Index (RSBI),"Coronavirus, Idiopathic Pulmonary Fibrosis, Pneumonia, Respiratory Failure, Sepsis","Bien US, Souza GF, Campos ES, et al. Maximum inspiratory pressure and rapid shallow breathing index as predictors of successful ventilator weaning. J Phys Ther Sci. 2015;27(12):3723–3727. doi:10.1589/jpts.27.3723.",ROC-derived RSBI threshold predicting successful ventilator weaning; exact threshold not reported,Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,high,High,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,195,126,4,24,41,130,0.6666666667,0.7692307692,0.9692307692,0.9235555115,0.9879707157,0.2
257,259,mdcalc:10347,10347,RCVS2 Score,https://www.mdcalc.com/calc/10347/rcvs2-score-reversible-cerebral-vasoconstriction-syndrome,RCVS2 Score,Reversible cerebral vasoconstriction,"Cho S, et al. RCVS–TCH score can predict reversible cerebral vasoconstriction syndrome in patients with thunderclap headache. Scientific Reports. 2021;11. doi:10.1038/s41598-021-87412-7.",RCVS₂ ≥5 predicts RCVS in patients presenting with thunderclap headache,Diagnosis,Unclear,v2_llm_sens_spec_prev,model-extracted,High,High,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,253,158,81,7,7,239,0.9446640316,0.652173913,0.6610878661,0.5989518574,0.7181274436,0.2
258,260,mdcalc:10347,10347,RCVS2 Score,https://www.mdcalc.com/calc/10347/rcvs2-score-reversible-cerebral-vasoconstriction-syndrome,RCVS2 Score,Reversible cerebral vasoconstriction,"Rocha EA, Topcuoglu MA, Silva GS, Singhal AB. RCVS₂ score and diagnostic approach for reversible cerebral vasoconstriction syndrome. Neurology. 2019;92:e639–e647",RCVS₂ ≤2 predicts non-RCVS; scores 3–4 are equivocal,Diagnosis,Unclear,v2_llm_sens_spec_prev,model-extracted,High,High,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,110,68,0,12,30,68,0.6181818182,0.7272727273,1,0.9465286635,1,0.2
259,261,mdcalc:10027,10027,Recognition of Stroke in the Emergency Room (ROSIER) Scale,https://www.mdcalc.com/calc/10027/recognition-stroke-emergency-room-rosier-scale,Recognition of Stroke in the Emergency Room (ROSIER) Scale,Stroke / Transient Ischemic Attack (TIA),"Zangi M, Karimi S, Mirbaha S, et al. The validity of recognition of stroke in the emergency room (ROSIER) scale in the diagnosis of Iranian patients with acute ischemic stroke in the emergency department. Turk J Emerg Med. 2021;21:1–5. doi:10.4103/2452-2473.301914.",ROSIER ≥1 indicates probable stroke,Diagnosis,Unclear,v2_llm_sens_spec_prev,model-extracted,High,High,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,356,129,70,22,135,199,0.558988764,0.4241573034,0.648241206,0.5796594409,0.7112081181,0.2
260,262,mdcalc:3949,3949,ROSE (Risk Stratification of Syncope in the Emergency Department) Rule,https://www.mdcalc.com/calc/3949/rose-risk-stratification-syncope-emergency-department-rule,ROSE (Risk Stratification of Syncope in the Emergency Department) Rule,"Acute Coronary Syndrome, Atrial Fibrillation, Stroke / Transient Ischemic Attack (TIA)",Validation cohort of prospective observational study of ED patients with syncope,,"Diagnosis, Prognosis",Cohort/consecutive,v2_llm_sens_spec_only_lit_prev,model-extracted,medium,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,550,48,171,7,324,219,0.3981818182,0.1,0.2191780822,0.1694881279,0.2785499497,0.1
261,263,mdcalc:3988,3988,Rule of 7s for Lyme Meningitis,https://www.mdcalc.com/calc/3988/rule-7s-lyme-meningitis,Rule of 7s for Lyme Meningitis,Meningitis,Large retrospective cohort study in three pediatric emergency departments,0 points (low risk),"Diagnosis, Rule Out",Cohort/consecutive,v2_llm_event_counts,model-extracted,high,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,423,112,181,5,125,293,0.6926713948,0.2765957447,0.3822525597,0.3284755416,0.4390771436,0.2
262,264,mdcalc:93,93,San Francisco Syncope Rule,https://www.mdcalc.com/calc/93/san-francisco-syncope-rule,San Francisco Syncope Rule,"Acute Coronary Syndrome, Arrhythmia",Sun et al external validation study - single center prospective cohort,San Francisco Syncope Rule positive (5 predictor variables),"Prognosis, Rule Out",Cohort/consecutive,v2_llm_event_counts,model-extracted,medium,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,477,5,273,1,198,278,0.5828092243,0.01257861635,0.01798561151,0.007706232507,0.04140456503,0.005
263,265,mdcalc:3802,3802,Secondary Intracerebral Hemorrhage (sICH) Score,https://www.mdcalc.com/calc/3802/secondary-intracerebral-hemorrhage-sich-score,Secondary Intracerebral Hemorrhage (sICH) Score,Stroke / Transient Ischemic Attack (TIA),"Delgado Almandoz JE, Jagadeesan BD, Moran CJ, et al. Independent validation of the secondary intracerebral hemorrhage score with catheter angiography and findings of emergent hematoma evacuation. Neurosurgery. 2012;70(1):131–140. doi:10.1227/NEU.0b013e31822fbf43.",sICH Score >2 predicts an underlying vascular etiology,"Diagnosis, Prognosis",Unclear,v2_llm_event_counts,model-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,341,50,95,11,185,145,0.4252199413,0.1788856305,0.3448275862,0.2723676648,0.4252972173,0.2
264,266,mdcalc:3820,3820,US (MEDPED) Diagnostic Criteria for Familial Hypercholesterolemia (FH),https://www.mdcalc.com/calc/3820/us-medped-diagnostic-criteria-familial-hypercholesterolemia-fh,US (MEDPED) Diagnostic Criteria for Familial Hypercholesterolemia (FH),Dyslipidemia,"Abdul-Razak S, Rahmat R, Mohd Kasim A, et al. Diagnostic performance of various familial hypercholesterolaemia diagnostic criteria compared to Dutch lipid clinic criteria in an Asian population. BMC Cardiovasc Disord. 2017;17:264. doi:10.1186/s12872-017-0694-z.",Meets age- and family-history-specific US MEDPED total-cholesterol threshold,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,755,105,2,310,338,107,0.1417218543,0.5496688742,0.9813084112,0.9343961469,0.9948590352,0.2
265,267,mdcalc:1856,1856,Vancouver Chest Pain Rule,https://www.mdcalc.com/calc/1856/vancouver-chest-pain-rule,Vancouver Chest Pain Rule,Acute Coronary Syndrome,"External validation study in Brisbane, Australia and Christchurch, New Zealand",Vancouver Chest Pain Rule criteria with highly-sensitive troponin assay,"Diagnosis, Rule Out",Unclear,v2_llm_event_counts,model-extracted,high,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1635,327,1095,3,210,1422,0.8697247706,0.2018348624,0.2299578059,0.2088311611,0.2525395297,0.2
266,268,mdcalc:362,362,Wells' Criteria for DVT,https://www.mdcalc.com/calc/362/wells-criteria-dvt,Wells' Criteria for DVT,Lower-extremity deep vein thrombosis,"Kargar-soleimanabad et al., Diagnostic value of the Wells score for lower extremity deep vein thrombosis in hospitalized patients: A case–control study, 2026",Wells score ≥2,Diagnosis,Case-control/two-gate,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,480,207,72,33,168,279,0.58125,0.5,0.7419354839,0.68754929,0.7897499028,0.2
267,269,mdcalc:115,115,Wells' Criteria for Pulmonary Embolism,https://www.mdcalc.com/calc/115/wells-criteria-pulmonary-embolism,Wells' Criteria for Pulmonary Embolism,Pulmonary embolism,"Gogulakrishnan & Ramakrishnan, 2023",Wells score ≥2,Diagnosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,65,20,14,3,28,34,0.5230769231,0.3538461538,0.5882352941,0.4222159388,0.7363403164,0.2
268,270,mdcalc:10064,10064,Wexner Score for Obstructed Defecation Syndrome (ODS),https://www.mdcalc.com/calc/10064/wexner-score-obstructed-defecation-syndrome-ods,Wexner Score for Obstructed Defecation Syndrome (ODS),Obstructed defecation syndrome,"Renzi et al., Five-Item Score for Obstructed Defecation Syndrome, 2012",Score ≥9,Diagnosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,200,92,4,8,96,96,0.48,0.5,0.9583333333,0.8977180853,0.9836792925,0.2
269,271,mdcalc:10561,10561,Wisconsin Criteria,https://www.mdcalc.com/calc/10561/wisconsin-criteria,Wisconsin Criteria,Facial fracture following maxillofacial trauma,"Gray et al., Assessment of the Wisconsin Criteria at a Level I Trauma Center, 2022",≥1 Wisconsin criterion present,Prognosis,Unclear,v2_llm_event_counts,model-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,546,407,41,65,33,448,0.8205128205,0.8644688645,0.9084821429,0.8781966545,0.9318219768,0.2
270,272,mdcalc:10168,10168,Withdrawal Assessment Tool (WAT-1) for Pediatric Withdrawal,https://www.mdcalc.com/calc/10168/withdrawal-assessment-tool-wat-1-pediatric-withdrawal,Withdrawal Assessment Tool (WAT-1) for Pediatric Withdrawal,Pediatric iatrogenic opioid and/or benzodiazepine withdrawal,"McAlister et al., Validation of the Withdrawal Assessment Tool-1 (WAT-1) in pediatric cardiovascular patients on an inpatient unit, 2023",WAT-1 ≥3,Diagnosis,Unclear,v2_llm_event_counts,model-extracted,Low,Low,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,60,15,3,15,27,18,0.3,0.5,0.8333333333,0.607779619,0.9416342319,0.2
271,273,mdcalc:10396,10396,Woman Abuse Screening Tool (WAST),https://www.mdcalc.com/calc/10396/woman-abuse-screening-tool-wast,Woman Abuse Screening Tool (WAST),Intimate partner violence,"Iskandar et al., Testing the Woman Abuse Screening Tool to Identify Intimate Partner Violence in Indonesia, 2015",WAST score ≥10,Prognosis,Unclear,v2_llm_event_counts,model-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,240,73,60,13,94,133,0.5541666667,0.3583333333,0.5488721805,0.464116085,0.6308843638,0.2
272,274,mdcalc:10609,10609,"Wound, Ischemia, foot Infection (WIfI) Classification",https://www.mdcalc.com/calc/10609/wound-ischemia-foot-infection-WIfI-classification,"Wound, Ischemia, foot Infection (WIfI) Classification",Major amputation in diabetic foot ulcer,"Sujitha et al., 2026",Stage 4 vs stages 1–3,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,70,20,30,1,19,50,0.7142857143,0.3,0.4,0.2760838973,0.5381856225,0.2
273,275,mdcalc:4067,4067,YEARS Algorithm for Pulmonary Embolism (PE),https://www.mdcalc.com/calc/4067/years-algorithm-for-pulmonary-embolism-pe,YEARS Algorithm for Pulmonary Embolism (PE),Pulmonary embolism,"Fayiad et al., 2024","PE likely: 0 YEARS items with D-dimer ≥1,000 ng/mL or ≥1 YEARS item with D-dimer ≥500 ng/mL","Algorithm, Diagnosis",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,50,27,7,3,13,34,0.68,0.6,0.7941176471,0.6320161195,0.896504731,0.2
274,276,mdcalc:3803,3803,MAGGIC Risk Calculator for Heart Failure,https://www.mdcalc.com/calc/3803/maggic-risk-calculator-heart-failure,MAGGIC Risk Calculator for Heart Failure,One-year all-cause mortality in chronic heart failure,"Scrutinio et al., 2024",Predicted 1-year mortality risk >20%,Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,1696,165,451,91,989,616,0.3632075472,0.1509433962,0.2678571429,0.234403769,0.3041879209,0.2
275,277,mdcalc:1844,1844,Major Depression Index (MDI),https://www.mdcalc.com/calc/1844/major-depression-index-mdi,Major Depression Index (MDI),Major depressive disorder,"Fountoulakis et al., 2003",MDI ≥27,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,98,26,4,4,64,30,0.306122449,0.306122449,0.8666666667,0.7031867332,0.9469034452,0.2
276,278,mdcalc:10190,10190,Malnutrition Universal Screening Tool (MUST),https://www.mdcalc.com/calc/10190/malnutrition-universal-screening-tool-must,Malnutrition Universal Screening Tool (MUST),GLIM-defined malnutrition in hospitalized older adults,"van Dronkelaar et al., 2023",MUST ≥2,Diagnosis,Unclear,v2_llm_event_counts,model-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,356,60,7,89,200,67,0.1882022472,0.4185393258,0.8955223881,0.7996871695,0.9484623023,0.2
277,279,mdcalc:549,549,Mangled Extremity Severity Score (MESS),https://www.mdcalc.com/calc/549/mangled-extremity-severity-score-mess-score,Mangled Extremity Severity Score (MESS),Amputation following severe extremity trauma,"Omoto et al., 2025",MESS ≥7,"Prognosis, Treatment",Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,54,15,8,3,28,23,0.4259259259,0.3333333333,0.652173913,0.4489033538,0.8118872406,0.2
278,280,mdcalc:10162,10162,McDonald Criteria for Multiple Sclerosis (2017 Revision),https://www.mdcalc.com/calc/10162/mcdonald-criteria-multiple-sclerosis-2017-revision,McDonald Criteria for Multiple Sclerosis (2017 Revision),Conversion from clinically isolated syndrome to clinically definite multiple sclerosis,"Hyun et al., 2019",Meets 2017 DIS and DIT criteria at baseline; DMT-free cohort with ≥2-year follow-up,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,61,35,1,8,17,36,0.5901639344,0.7049180328,0.9722222222,0.8583028135,0.9950795929,0.2
279,281,mdcalc:4017,4017,McMahon Score for Rhabdomyolysis,https://www.mdcalc.com/calc/4017/mcmahon-score-rhabdomyolysis,McMahon Score for Rhabdomyolysis,Rhabdomyolysis requiring renal replacement therapy,"Simpson et al., 2016",McMahon Score ≥6,Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,232,25,65,4,138,90,0.3879310345,0.125,0.2777777778,0.1957968919,0.377952275,0.1
280,282,mdcalc:10087,10087,Mehran Score for Post-PCI Contrast Nephropathy,https://www.mdcalc.com/calc/10087/mehran-score-post-pci-contrast-nephropathy,Mehran Score for Post-PCI Contrast Nephropathy,Contrast-induced acute kidney injury after PCI,"Hung et al., 2025",>10,Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,217,8,24,4,181,32,0.1474654378,0.05529953917,0.25,0.1325240092,0.4210655899,0.1
281,283,mdcalc:78,78,MELD Na (UNOS/OPTN),https://www.mdcalc.com/calc/78/meld-score-model-end-stage-liver-disease-12-older,MELD-Na (UNOS/OPTN),90-day mortality in cirrhosis with spontaneous bacterial peritonitis,"Coxeter-Smith et al., 2023",>18.5,"Prognosis, Treatment",Unclear,v2_llm_event_counts,model-extracted,Low,Low,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,15,8,1,2,4,9,0.6,0.6666666667,0.8888888889,0.5650002944,0.9801091124,0.2
282,284,mdcalc:2693,2693,"MELD Score (Original, Pre-2016, Model for End-Stage Liver Disease)",https://www.mdcalc.com/calc/2693/meld-score-original-pre-2016-model-end-stage-liver-disease,"MELD Score (Original, Pre-2016, Model for End-Stage Liver Disease)",90-day mortality in cirrhosis with spontaneous bacterial peritonitis,"Coxeter-Smith et al., 2023",>16.5,"Prognosis, Treatment",Unclear,v2_llm_sens_spec_prev,model-extracted,Low,Low,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,15,7,1,3,4,8,0.5333333333,0.6666666667,0.875,0.5291118178,0.9775825085,0.2
283,285,mdcalc:3900,3900,Milan Criteria for Liver Transplantation,https://www.mdcalc.com/calc/3900/milan-criteria-liver-transplantation,Milan Criteria for Liver Transplantation,HCC recurrence after liver transplantation,"Morgul et al., 2020",Beyond Milan criteria predicts recurrence,Prognosis,Unclear,v2_llm_event_counts,model-extracted,Moderate–high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,120,13,33,4,70,46,0.3833333333,0.1416666667,0.2826086957,0.1732420238,0.4254856123,0.1
284,286,mdcalc:3946,3946,Mirels’ Criteria for Prophylactic Fixation,https://www.mdcalc.com/calc/3946/mirels-criteria-prophylactic-fixation,Mirels’ Criteria for Prophylactic Fixation,Pathologic fracture of a metastatic humeral lesion,"Tat et al., 2023",≥8 points,Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,188,51,26,10,101,77,0.4095744681,0.3244680851,0.6623376623,0.5512464831,0.7580007814,0.2
285,287,mdcalc:4006,4006,mMRC (Modified Medical Research Council) Dyspnea Scale,https://www.mdcalc.com/calc/4006/mmrc-modified-medical-research-council-dyspnea-scale,mMRC (Modified Medical Research Council) Dyspnea Scale,Low physical activity level in COPD,"Hayata et al., 2016",≥2 points,"Diagnosis, Prognosis",Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate,Moderate,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,98,30,8,28,32,38,0.387755102,0.5918367347,0.7894736842,0.6365422052,0.8892520816,0.2
286,288,mdcalc:10437,10437,Combined MELD,https://www.mdcalc.com/calc/10437/model-end-stage-liver-disease-meld,Model for End-Stage Liver Disease (Combined MELD)—MELD 3.0,30-day mortality in hospitalized patients with cirrhosis,"Lin et al., 2024",MELD 3.0 >19,Prognosis,Unclear,v2_llm_sens_spec_prev,model-extracted,Moderate–high,Moderate-high,Reported sensitivity/specificity,Exact outcome is not separately encoded in every frozen row; verify against source.,862,33,143,16,670,176,0.2041763341,0.05684454756,0.1875,0.1367411382,0.2516090191,0.1
287,289,mdcalc:3382,3382,Modified Asthma Predictive Index (mAPI),https://www.mdcalc.com/calc/3382/modified-asthma-predictive-index-mapi,Modified Asthma Predictive Index (mAPI),Asthma at age 5 years after severe infant bronchiolitis,"Fabiano Filho et al., 2021",Positive mAPI,Diagnosis,Unclear,v2_llm_rounded_metrics,model-extracted,Low,Low,Metric-reconstructed,Exact outcome is not separately encoded in every frozen row; verify against source.,844,42,10,239,553,52,0.06161137441,0.3329383886,0.8076923077,0.6810113919,0.8920395398,0.2
288,290,mdcalc:3814,3814,Modified Bishop Score for Vaginal Delivery and Induction of Labor,https://www.mdcalc.com/calc/3814/modified-bishop-score-vaginal-delivery-induction-labor,Modified Bishop Score for Vaginal Delivery and Induction of Labor,Vaginal delivery at ≥40 weeks in primigravidas,"Galzie and Rao, 2020",>6 points,Prognosis,Unclear,v2_llm_rounded_metrics,model-extracted,Low,Low,Metric-reconstructed,Exact outcome is not separately encoded in every frozen row; verify against source.,91,68,2,19,2,70,0.7692307692,0.956043956,0.9714285714,0.9016774388,0.9921293881,0.2
289,291,mdcalc:10432,10432,Modified Brain Injury Guideline (mBIG),https://www.mdcalc.com/calc/10432/modified-brain-injury-guideline-mbig,Modified Brain Injury Guideline (mBIG),Severe outcome after complicated mild traumatic brain injury,"Colombo et al., 2025",mBIG 2 or 3,Treatment,Unclear,v2_llm_2x2_raw,model-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,451,18,196,1,236,214,0.4745011086,0.0421286031,0.08411214953,0.05386573582,0.1290262584,0.05
290,292,mdcalc:1875,1875,Modified Early Warning Score (MEWS) for Clinical Deterioration,https://www.mdcalc.com/calc/1875/modified-early-warning-score-mews-clinical-deterioration,Modified Early Warning Score (MEWS) for Clinical Deterioration,Death or ICU admission among emergency observation patients,"Lam et al., 2006",Maximum MEWS >4,"Prognosis, Treatment",Unclear,v2_llm_event_counts,model-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,425,3,14,2,406,17,0.04,0.01176470588,0.1764705882,0.06191126638,0.4102945857,0.05
291,293,mdcalc:3312,3312,Modified Glasgow Prognostic Score (mGPS) for Cancer Outcomes,https://www.mdcalc.com/calc/3312/modified-glasgow-prognostic-score-mgps-cancer-outcomes,Modified Glasgow Prognostic Score (mGPS) for Cancer Outcomes,ICU mortality in patients with breast cancer,"Tunay et al., 2023",mGPS = 2,Prognosis,Unclear,v1_raw,human-extracted,Low,Low,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,67,31,13,6,17,44,0.6567164179,0.552238806,0.7045454545,0.5577979987,0.8184447088,0.2
292,294,mdcalc:3989,3989,Modified Mallampati Classification,https://www.mdcalc.com/calc/3989/modified-mallampati-classification,Modified Mallampati Classification,Difficult laryngoscopy,"Yemam et al., 2022",Modified Mallampati class III–IV,Formula,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,141,10,8,11,112,18,0.1276595745,0.1489361702,0.5555555556,0.3371641564,0.7544048187,0.2
